simple_name,common_name_c,alternative_name_c,class
Suthora,鴉雀屬,,Aves
Synoicus,鵪鶉屬,,Aves
Synthliboramphus,扁嘴海雀屬,,Aves
Syrmaticus,長尾雉屬,,Aves
Tachybaptus,小鸊鷉屬,,Aves
Tadorna,麻鴨屬,,Aves
Tarsiger,林鴝屬,,Aves
Terpsiphone,壽帶屬,,Aves
Thalasseus,鳳頭燕鷗屬,,Aves
Threskiornis,白䴉屬,,Aves
Todiramphus,領翡翠屬,,Aves
Treron,綠鳩屬,,Aves
Trichoglossus,森氏吸蜜鸚鵡屬,,Aves
Tringa,鷸屬,,Aves
Trochalopteron,圓翅噪眉屬,圓翅噪鶥屬,Aves
Troglodytes,鷦鷯屬,,Aves
Turdus,鶇屬,,Aves
Turnix,三趾鶉屬,,Aves
Tyto,草鴞屬,,Aves
Upupa,戴勝屬,,Aves
Uria,海鴉屬,,Aves
Urocissa,藍鵲屬,,Aves
Urosphena,短尾鶯屬,,Aves
Vanellus,麥雞屬,,Aves
Vidua,維達鳥屬,,Aves
Xema,叉尾鷗屬,,Aves
Xenus,翹嘴鷸屬,,Aves
Yuhina,鳳鶥屬,,Aves
Yungipicus,姬啄木屬,,Aves
Zapornia,小田雞屬,,Aves
Zoothera,虎鶇屬,,Aves
Zosterops,繡眼屬,,Aves
Delichon,毛腳燕屬,,Aves
Dendrocitta,樹鵲屬,,Aves
Dendrocopos,啄木鳥屬,,Aves
Dendrocygna,樹鴨屬,,Aves
Dendronanthus,山鶺鴒屬,,Aves
Dicaeum,啄花屬,,Aves
Dicrurus,卷尾屬,,Aves
Egretta,白鷺屬,,Aves
Elanus,黑翅鳶屬,,Aves
Emberiza,鵐屬,,Aves
Enicurus,燕尾屬　,,Aves
Eophona,黃嘴雀屬,,Aves
Eos,吸蜜鸚鵡屬,,Aves
Erpornis,綠鳳鶥屬,,Aves
Estrilda,梅花雀屬,,Aves
Eudynamys,噪鵑屬,,Aves
Eumyias,銅藍鶲屬,,Aves
Euodice,銀嘴文鳥屬,,Aves
Eurystomus,三寶鳥屬,,Aves
Falco,隼屬,,Aves
Ficedula,姬鶲屬,,Aves
Fregata,軍艦鳥屬,,Aves
Fringilla,燕雀屬,,Aves
Fulica,骨頂屬,,Aves
Fulmarus,暴風鸌屬,,Aves
Fulvetta,褐鶥屬,,Aves
Gallicrex,董雞屬,,Aves
Gallinago,田鷸屬,,Aves
Gallinula,黑水雞屬,,Aves
Garrulax,噪眉屬,噪鶥屬,Aves
Garrulus,松鴉屬,,Aves
Gavia,潛鳥屬,,Aves
Gelochelidon,噪鷗屬,,Aves
Geokichla,地鶇屬,,Aves
Geopelia,鳩屬,,Aves
Glareola,燕鴴屬,,Aves
Glaucidium,鵂鶹屬,,Aves
Gorsachius,麻鷺屬,,Aves
Gracula,鷯哥屬,,Aves
Gracupica,斑椋鳥屬,,Aves
Grus,鶴屬,,Aves
Haematopus,蠣鷸屬,,Aves
Halcyon,翡翠屬,,Aves
Haliaeetus,海鵰屬,,Aves
Haliastur,栗鳶屬,,Aves
Hemixos,短足鵯屬,,Aves
Heterophasia,奇鶥屬,,Aves
Hieraaetus,隼鵰屬,,Aves
Hierococcyx,鷹鵑屬,,Aves
Himantopus,長腳鷸屬,,Aves
