simple_name,common_name_c,alternative_name_c,class
Pareas formosensis,臺灣鈍頭蛇,"脊高蛇,阿里山鈍頭蛇,台灣鈍頭蛇",Reptilia
Pareas komaii,駒井氏鈍頭蛇,,Reptilia
Anguis platura,長吻海蛇,黑背海蛇,Reptilia
Physignathus cocincinus,綠水龍,"亞洲水龍,長鬣蜥,綠長鬣蜥",Reptilia
Diploderma polygonatum xanthostomum,黃口攀蜥,,Reptilia
Eutropis multicarinata borealis,多稜真棱蜥,"多稜真稜蜥,多稜真稜蜥北方亞種,多稜南蜥",Reptilia
Oreocryptophis porphyraceus kawakamii,紅竹蛇,紫灰錦蛇,Reptilia
Ovophis makazayazaya,瑪家山龜殼花,"阿里山龜殼花,山烙鐵頭",Reptilia
Trimerodytes percarinatus suriki,白腹遊蛇,"白腹游蛇,烏游蛇,華游蛇",Reptilia
Trachemys scripta scripta,黃耳龜,,Reptilia
Hypsiscopus,水蛇屬,,Reptilia
Pseudagkistrodon,擬蝮蛇屬,,Reptilia
Anguis,,,Reptilia
Diploderma polygonatum,黃口攀蜥,,Reptilia
Eutropis multicarinata,多稜真稜蜥,,Reptilia
Oreocryptophis porphyraceus,紅竹蛇,,Reptilia
Orthriophis taeniurus,臺灣黑眉錦蛇,,Reptilia
Psammodynastes pulverulentus,茶斑蛇,,Reptilia
Rhabdophis tigrinus,,,Reptilia
Trimerodytes percarinatus,白腹游蛇,,Reptilia
Trachemys scripta,黃耳龜,,Reptilia
Pseudoxenodon stejnegeri stejnegeri,史丹吉氏斜鱗蛇,,Reptilia
Bungarus multicinctus multicinctus,雨傘節,,Reptilia
Hypsiscopus plumbea,鉛色水蛇,,Reptilia
Macropisthodon rudis rudis,擬龜殼花,,Reptilia
Mauremys mutica mutica,柴棺龜,,Reptilia
Takydromus kuehnei kuehnei,古氏草蜥,,Reptilia
Achalinus formosanus formosanus,臺灣標蛇,,Reptilia
Calamaria pavimentata pavimentata,鐵線蛇,,Reptilia
Lycodon rufozonatus rufozonatus,紅斑蛇,,Reptilia
Lycodon ruhstrati ruhstrati,白梅花蛇,,Reptilia
Sibynophis chinensis chinensis,黑頭蛇,,Reptilia
Trimeresurus stejnegeri stejnegeri,赤尾青竹絲,,Reptilia
Gekko melli,梅氏壁虎,,Reptilia
Lycodon capucinus,白枕白環蛇,,Reptilia
Cyclophiops major,青蛇,"翠青蛇,清竹絲",Reptilia
Rhabdophis formosanus,臺灣赤煉蛇,"虎斑游蛇,紅脖游蛇",Reptilia
Trimerodytes,,,Reptilia
