ScientificName,ChineseName1,ChineseName2,ChineseName3
Jaydia truncata,截尾銀口天竺鯛,,大面側仔、大目側仔、大目丁
Lepidamia kalosoma,美身多鱗天竺鯛,,大面側仔、大目側仔
Neamia octospina,八棘扁天竺鯛,,大面側仔、大目側仔
Nectamia bandanensis,頰紋聖天竺鯛,頰紋聖竺鯛,大面側仔、大目側仔
Nectamia fusca,褐色聖天竺鯛,棕色聖竺鯛,大面側仔、大目側仔
Nectamia luxuria,燦爛聖天竺鯛,,大面側仔、大目側仔
Nectamia savayensis,薩摩亞聖天竺鯛,薩瓦耶聖竺鯛,大面側仔、大目側仔
Nectamia viria,印尼聖天竺鯛,,大面側仔、大目側仔
Ostorhinchus angustatus,寬帶鸚天竺鯛,,大面側仔、大目側仔
Ostorhinchus apogonoides,短齒鸚天竺鯛,短牙鸚竺鯛,大面側仔、大目側仔、短齒天竺鯛
Ostorhinchus aureus,環尾鸚天竺鯛,,大面側仔、大目側仔、大目丁(澎湖)
Ostorhinchus cheni,陳氏鸚天竺鯛,陳氏天竺鯛,大面側仔、大目側仔
Ostorhinchus chrysotaenia,黃體鸚天竺鯛,,大面側仔、大目側仔
Ostorhinchus compressus,裂帶鸚天竺鯛,,大面側仔、大目側仔、裂帶天竺鯛
Ostorhinchus cookii,庫氏鸚天竺鯛,,大面側仔、大目側仔、大目丁(澎湖)
Ostorhinchus cyanosoma,金帶鸚天竺鯛,,大面側仔、大目側仔
Ostorhinchus dispar,箭矢鸚天竺鯛,,大面側仔、大目側仔、大目丁(澎湖)
Ostorhinchus doederleini,稻氏鸚天竺鯛,,大面側仔、大目側仔、紅三寶(澎湖)、大目丁(澎湖)
Ostorhinchus endekataenia,細線鸚天竺鯛,,大面側仔、大目側仔
Ostorhinchus fasciatus,寬條鸚天竺鯛,,大面側仔、大目側仔
Ostorhinchus fleurieu,斑柄鸚天竺鯛,,大面側仔、大目側仔
Ostorhinchus holotaenia,全紋鸚天竺鯛,,大面側仔、大目側仔
Ostorhinchus kiensis,中線鸚天竺鯛,,大面側仔、大目側仔、大目丁(澎湖)
Ostorhinchus moluccensis,摩鹿加鸚天竺鯛,,大面側仔、大目側仔
Ostorhinchus multilineatus,多線鸚天竺鯛,,大面側仔、大目側仔
Ostorhinchus nigrofasciatus,黑帶鸚天竺鯛,,大面側仔、大目側仔、大目丁(澎湖)
Ostorhinchus notatus,黑點鸚天竺鯛,黑點天竺鯛,大面側仔、大目側仔、目達仔、大目丁(澎湖)
Ostorhinchus novemfasciatus,九帶鸚天竺鯛,九線鸚天竺鯛,大面側仔、大目側仔
Ostorhinchus pleuron,側帶鸚天竺鯛,,大面側仔、大目側仔
Ostorhinchus properuptus,黃帶鸚天竺鯛,,大面側仔、大目側仔
Ostorhinchus semilineatus,半線鸚天竺鯛,半線天竺鯛,大面側仔、大目側仔、大目丁(澎湖)
Ostorhinchus taeniophorus,褐帶鸚天竺鯛,褐帶鸚天竺,大面側仔、大目側仔
Pristiapogon exostigma,單線鋸天竺鯛,,大面側仔、大目側仔
Pristiapogon fraenatus,棘眼鋸天竺鯛,,大面側仔、大目側仔
Pristiapogon kallopterus,麗鰭鋸天竺鯛,,大面側仔、大目側仔、棘頭天竺鯛
Pristicon trimaculatus,三斑鋸鰓天竺鯛,,大面側仔、大目側仔、大目丁(澎湖)
Pseudamia gelatinosa,犬牙擬天竺鯛,,大面側仔、大目側仔、大大目丁(澎湖)
Pseudamia hayashii,林氏擬天竺鯛,,大面側仔、大目側仔、圓鱗擬天竺鯛
Pseudamiops gracilicauda,准天竺鯛,,大面側仔、大目側仔
Rhabdamia gracilis,箭天竺鯛,細箭竺鯛,大面側仔、大目側仔、大目丁(澎湖)
Siphamia fuscolineata,棕線管天竺鯛,棕線管竺鯛,大面側仔、大目側仔
Siphamia majimai,馬島氏管天竺鯛,馬島氏管竺鯛,大面側仔、大目側仔
Siphamia tubifer,湯加管天竺鯛,,變色管天竺鯛、大面側仔、大目側仔
Sphaeramia nematoptera,絲鰭圓天竺鯛,絲鰭圓竺鯛,大面側仔、大目側仔
Sphaeramia orbicularis,環紋圓天竺鯛,紅尾圓竺鯛,大面側仔、大目側仔
Taeniamia biguttata,雙斑帶天竺鯛,雙斑長鰭天竺鯛,大面側仔、大目側仔
Taeniamia buruensis,橫帶天竺鯛,橫帶長鰭天竺鯛,大面側仔、大目側仔
Taeniamia dispilus,橫紋帶天竺鯛,,大面側仔、大目側仔
Taeniamia fucata,褐斑帶天竺鯛,紅紋長鰭天竺鯛,大面側仔、大目側仔
Taeniamia macroptera,真帶天竺鯛,真長鰭天竺鯛,大面側仔、大目側仔
Verulux cypselurus,燕尾矛天竺鯛,燕尾箭竺鯛,大面側仔、大目側仔
Yarica hyalosoma,扁頭亞氏天竺鯛,扁頭天竺鯛,大面側仔、大目側仔
Zoramia gilberti,齊氏狸天竺鯛,吉氏狸竺鯛,大面側仔、大目側仔
Epigonus denticulatus,細身深海天竺鯛,細身後竺鯛,大面側仔、大目側仔
Sillago aeolus,星沙鮻,雜色鱚,沙腸仔、kiss魚、沙燙仔(幼魚)、鳥公(老成魚)、沙鑽(澎湖)
Sillago asiatica,亞洲沙鮻,亞洲鱚,沙腸仔、kiss 魚
Sillago chondropus,砂大指鱚,,大指沙鮻、沙腸仔、kiss魚
Sillago ingenuua,灣沙鮻,海灣鱚,沙腸仔、kiss 魚
Sillago japonica,日本沙鮻,少鱗鱚,沙腸仔、kiss魚、沙燙仔、沙鑽(澎湖)
Sillago microps,小眼沙鮻,小眼鱚,沙腸仔、kiss 魚
Sillago parvisquamis,小鱗沙鮻,細鱗鱚,沙腸仔、kiss 魚、牛鮻
Sillago shaoi,邵氏沙鮻,邵氏鱚,沙腸仔、kiss 魚
Sillago sihama,多鱗沙鮻,多鱗鱚,沙腸仔、kiss 魚
Branchiostegus albus,白馬頭魚,白方頭魚,馬頭、方頭魚、白馬頭、拉崙(澎湖)、白甘鯛
Branchiostegus argentatus,銀馬頭魚,銀方頭魚,馬頭、方頭魚
Branchiostegus auratus,斑鰭馬頭魚,斑鰭方頭魚,馬頭、方頭魚、黃面馬(澎湖)、黃甘鯛
Branchiostegus japonicus,日本馬頭魚,日本方頭魚,馬頭、方頭魚、吧唄、紅尾、吧口弄、紅馬頭、紅甘鯛
Hoplolatilus cuniculus,似弱棘魚,,弱棘魚
Hoplolatilus fronticinctus,叉尾似弱棘魚,,弱棘魚、魽吉仔(臺東)
Hoplolatilus marcosi,馬氏似弱棘魚,,弱棘魚
Hoplolatilus purpureus,紫似弱棘魚,,弱棘魚
Hoplolatilus starcki,斯氏似弱棘魚,,弱棘魚
Malacanthus brevirostris,短吻弱棘魚,,軟棘魚、黃鴛鴦、魽吉仔(臺東)、假柳冷仔(澎湖)
Malacanthus latovittatus,側條弱棘魚,,軟棘魚、魽吉仔(臺東)、假柳冷仔(澎湖)
Lactarius lactarius,乳鯖,乳香魚,擬鰺
Scombrops boops,牛眼鯥,牛眼青鯥,牛眼鯥、牛目仔
Pomatomus saltatrix,扁鰺,鯥,扁鰺
Coryphaena equiselis,棘鬼頭刀,棘鯕鰍,鱰魚、萬魚、飛烏虎、龜遍(臺東)
Coryphaena hippurus,鬼頭刀,鯕鰍,鱰魚、萬魚、飛烏虎、鬼頭刀(臺東)、鱰、萬引、扁頭刀(澎湖)、九萬仔(澎湖)
Rachycentron canadum,海鱺,軍曹魚,海麗仔、軍曹魚、海龍魚、黑魽、海麗(臺東)、海魚戾魚、錫臘白、海鱺(澎湖)、鱺魚(澎湖)、紅目鱺(澎湖)
Echeneis naucrates,長印魚,鮣,長印仔魚、印魚(臺東)、屎印(澎湖)、牛屎印(澎湖)、狗屎印(澎湖)
Remora albescens,白短印魚,白短鮣,白印仔魚
Remora australis,澳洲短印魚,澳洲短鮣,短印仔魚
Remora brachyptera,短臂短印魚,短臂短鮣,印仔魚、印魚(臺東)
Remora osteochir,大盤短印魚,大盤短鮣,菱小判、印仔魚
Remora remora,短印魚,短鮣,短印仔魚、印魚(臺東)、狗屎印(澎湖)
Alectis ciliaris,絲鰺,短吻絲鰺,花串、白鬚公、甘仔魚(臺東)、白鬚鯌(澎湖)、鱟包鬚(澎湖)
Alectis indica,印度絲鰺,長吻絲鰺,銅鏡魽仔、大花串、鬚甘、東京瓜仔、白鬚公、鱟包鬚(澎湖)、白鬚鲒(澎湖)、南方穴(澎湖)、南方瓜仔、馬面瓜仔(臺南安平)
Alepes djedaba,吉打副葉鰺,及達副葉鰺,甘仔魚、瓜仔魚、花鯧、甘仔、吉打鰺、白鯌仔(澎湖)
Alepes kleinii,克氏副葉鰺,,甘仔魚
Alepes vari,范氏副葉鰺,,甘仔魚
Atropus atropos,溝鰺,,銅鏡、白鯌仔(澎湖)
Atule mate,遊鰭葉鰺,,四破鰺仔、黃尾瓜仔、平瓜仔、甘仔魚(臺東)、大目孔(澎湖)、大目巴弄(澎湖)
Carangoides armatus,甲若鰺,,甘仔魚、鎧鰺、白鯌仔(澎湖)、瓜仔(澎湖)、山鬚仔魚(澎湖)
Carangoides bajad,橘點若鰺,橙點若鰺,甘仔魚
Carangoides chrysophrys,長吻若鰺,,清水魽仔、冬花鰺
Carangoides coeruleopinnatus,青羽若鰺,,甘仔魚、青羽鰺、白鯌仔(澎湖)、瓜仔(澎湖)
Carangoides dinema,背點若鰺,,甘仔魚、曳絲平鰺、白鯌仔(澎湖)、瓜仔(澎湖)
Carangoides equula,高體若鰺,,甘仔魚、平鰺、白鯌仔(澎湖)、瓜仔(澎湖)
Carangoides ferdau,平線若鰺,,甘仔魚、印度平鰺、白鯌仔(澎湖)、瓜仔(澎湖)
Carangoides fulvoguttatus,星點若鰺,黃點若鰺,甘仔魚
Carangoides gymnostethus,裸胸若鰺,,甘仔魚
Carangoides hedlandensis,海蘭德若鰺,,甘仔魚、銅鏡、白鯌仔(澎湖)、瓜仔(澎湖)
Carangoides malabaricus,馬拉巴若鰺,,甘仔魚、瓜仔鰺
Carangoides oblongus,長圓若鰺,卵圓若鰺,甘仔魚、長鰭鰺、白鯌仔(澎湖)、瓜仔(澎湖)
Carangoides orthogrammus,直線若鰺,,甘仔魚、瓜仔、直線平鰺、黑鯌(澎湖)、牛港鯌(澎湖)、丁香鯌(澎湖)、七星鯌(澎湖)
Carangoides plagiotaenia,橫帶若鰺,,甘仔魚
Carangoides talamparoides,白舌若鰺,,甘仔魚
Caranx bucculentus,藍點鰺,大口鰺,甘仔魚、瓜仔
Caranx ignobilis,浪人鰺,珍鰺,牛港鰺、牛港瓜仔、牛公瓜仔、流氓瓜仔、牛港過(臺東)、白鯌仔(澎湖)、瓜仔(澎湖)
Caranx lugubris,闊步鰺,黑鰺,甘仔魚、黑面甘(臺東)
Caranx melampygus,藍鰭鰺,黑尻鰺,甘仔魚、白鯌仔(澎湖)、瓜仔(澎湖)
Caranx papuensis,巴布亞鰺,,甘仔魚、瓜仔、紅目瓜仔(臺南安平)
Caranx sexfasciatus,六帶鰺,,甘仔魚、紅目瓜仔、紅目鯌(澎湖)、大瓜仔(澎湖)
Caranx tille,泰利鰺,泰勒鰺,甘仔魚
Decapterus kurroides,無斑圓鰺,,紅瓜魚、巴攏、紅扁鰺、赤尾仔(臺東)、赤尾、馬尾冬、紅瓜鰺、紅尾巴弄(澎湖)
Decapterus macarellus,頜圓鰺,細鱗圓鰺,紅赤尾、拉洋圓鰺、肉鰮(臺東)、四破(澎湖)、硬尾(澎湖)
Decapterus macrosoma,長身圓鰺,長體圓鰺,長鰺、四破、肉溫仔
Decapterus maruadsi,藍圓鰺,紅背圓鰺(藍圓鰺),硬尾、廣仔、甘廣、四破、巴攏、金鼓、吧弄、巴弄(澎湖)、孔仔(澎湖)
Decapterus russelli,羅氏圓鰺,紅鰭圓鰺,紅赤尾、硬尾、紅瓜鰺
Decapterus tabl,泰勃圓鰺,鋸緣圓鰺,硬尾
Elagatis bipinnulata,雙帶鰺,紡綞鰤,海草、拉侖、拉崙(澎湖)、柴魚(澎湖)、青甘(澎湖)
Gnathanodon speciosus,無齒鰺,黃鸝無齒鰺,虎斑瓜、甘仔魚(臺東)、黃鯌(澎湖)、花燒鯌(澎湖)
Megalaspis cordyla,大甲鰺,,鐵甲、扁甲、大目巴攏、大甲鰺
Naucrates ductor,黑帶鰺,舟鰤,烏甘、番軟鑽(澎湖)
Parastromateus niger,烏鯧,烏鰺,烏昌、三角昌、昌鼠魚、黑鯧、暗鯧、黑鰭、燕尾鯧
Pseudocaranx dentex,黃帶擬鰺,,甘仔、瓜仔、縱帶鰺、石午(澎湖)、白魽
Scomberoides commersonnianus,大口逆鈎鰺,康氏似鰺,七星仔、棘蔥仔、鬼平、龜濱、龜柄、油面仔(臺東)、歸秉(澎湖)、龜秉(澎湖)、肥柄(澎湖)
Scomberoides lysan,逆鈎鰺,長頜似鰺,七星仔、棘蔥仔、鬼平、刺蔥仔(臺東)、刺蔥(澎湖)
Scomberoides tala,橫紋逆鈎鰺,,刺蔥仔、油面仔(台南)
Scomberoides tol,托爾逆鈎鰺,革似鰺,七星仔、棘蔥仔、鬼平、刺蔥(澎湖)、龜秉(澎湖)
Selar boops,牛眼凹肩鰺,,
Selar crumenophthalmus,脂眼凹肩鰺,,大目瓜仔、大目巴攏、大目孔、目孔(臺東)、大目巴弄(澎湖)、大目榕葉(澎湖)
Selaroides leptolepis,金帶細鰺,,目孔、細鰺、木葉鰺、榕葉(澎湖)、松葉(澎湖)
Seriola dumerili,杜氏鰤,杜氏鰤(高體鰤),紅甘、紅甘鰺、竹午、汕午、紅頭午
Seriola rivoliana,長鰭鰤,,油甘、黃尾鰺、甘仔(臺東)、扁午(澎湖)、扁甘(澎湖)、柴魽
Seriolina nigrofasciata,小甘鰺,黑紋小條鰤,黑甘、油甘、軟骨甘、軟鑽(澎湖)、軟骨午(澎湖)、火燒甘(基隆)、虎甘(宜蘭)
Trachinotus anak,阿納鯧鰺,,紅杉
Trachinotus baillonii,斐氏鯧鰺,,卵鰺、紅鰺、油面仔、幽面仔、斐氏黃臘鰺、南風穴仔、甘仔魚(臺東)、紅紗(澎湖)
Trachinotus blochii,布氏鯧鰺,獅鼻鯧鰺,金槍、金鯧、紅杉、紅沙瓜仔、長鰭黃臘鰺、甘仔魚(臺東)、紅紗(澎湖)
Trachurus japonicus,日本竹筴魚,,巴攏、竹莢魚、瓜仔魚、真鰺、巴蘭、瓜魚、巴弄(澎湖)、硬尾(澎湖)、黑尾
Ulua mentalis,短絲羽鰓鰺,,瓜仔、絲口鰺、甘仔魚(臺東)
Uraspis helvola,白舌尾甲鰺,,瓜仔、沖鰺、黑面甘、黑魽、甘仔魚(臺東)、白鯌仔(澎湖)、瓜仔(澎湖)
Uraspis uraspis,白口尾甲鰺,,瓜仔、正沖鰺
Mene maculata,眼眶魚,眼鏡魚,皮刀、眼眶魚、庖刀魚、皮鞋刀、菜刀魚、剃頭刀(澎湖)
Aurigequula fasciatus,條紋金鰏,長棘鰏,金錢仔、兵葉仔(澎湖)、方葉仔(澎湖)
Equulites absconditus,秘馬鰏,,金錢仔
Equulites elongatus,長身馬鰏,,金錢仔
Equulites leuciscus,曳絲馬鰏,,金錢仔、兵葉仔(澎湖)、方葉仔(澎湖)
Equulites lineolatus,粗紋鰏,,粗紋馬鰏、花令仔、金錢仔
Equulites rivulatus,條馬鰏,溝馬鰏,金錢仔、兵葉仔、方葉仔
Eubleekeria splendens,黑邊布氏鰏,,碗米仔、金錢仔、黑邊鰏、狗祈(澎湖)、狗扁(澎湖)
Gazza achlamys,寬身牙鰏,裸牙鰏,金錢仔
Gazza minuta,小牙鰏,,花令仔、金錢仔、咪卯漲(澎湖)
Leiognathus berbis,細紋鰏,,金錢仔
Leiognathus equulus,短棘鰏,,狗腰、金錢仔、三角仔(澎湖)、三角鐵(澎湖)、狗扁(澎湖)
Nuchequula mannusella,圈頸鰏,圈項鰏,九更仔、金錢仔
Nuchequula nuchalis,項斑項鰏,頸斑項鰏,金錢仔、兵葉仔(澎湖)、方葉仔(澎湖)
Photopectoralis aureus,金黃光胸鰏,,金錢仔、金黃鰏
Photopectoralis bindus,黃斑光胸鰏,,碗米仔、金錢仔
Secutor indicius,印度仰口鰏,,碗米仔、金錢仔、咪卯漲(澎湖)
Secutor insidiator,長吻仰口鰏,靜仰口鰏(靜鰏),碗米仔、金錢仔
Secutor interruptus,間斷仰口鰏,,
Secutor ruconius,仰口鰏,鹿斑仰口鰏(鹿斑鰏),金錢仔、咪卯漲(澎湖)
Brama japonica,日本烏魴,,深海三角仔、黑飛刀、黑皮刀
Brama myersi,梅氏烏魴,,深海三角仔、黑飛刀、黑皮刀
Brama orcini,小鱗烏魴,,深海三角仔、黑飛刀、黑皮刀
Eumegistus illustris,真烏魴,,深海三角仔、黑飛刀、黑皮刀、三角仔(臺東)、黑三角仔(臺東)、深海黑嘉臘
Pteraclis aesticola,帆鰭魴,,深海三角仔、黑飛刀、黑皮刀
Pterycombus petersii,彼氏高鰭魴,,深海三角仔、黑飛刀、黑皮刀
Taractes rubescens,紅稜魴,,深海三角仔、黑飛刀、黑皮刀
Taractichthys steindachneri,斯氏長鰭烏魴,,深海三角仔、黑飛刀、黑皮刀、三角仔(臺東)、大鱗烏鯧(澎湖)
Emmelichthys struhsakeri,史氏諧魚,,紅鰱魚、紅肉欉仔、紅臭魚(臺東)
Erythrocles schlegelii,史氏紅諧魚,,紅鰱魚、紅肉欉仔、紅嘴唇仔、紅唇仔、紅魚仔、白肉蒜，紅肉蒜
Erythrocles scintillans,火花紅諧魚,,紅鰱魚、紅肉欉仔
Aphareus furca,欖色細齒笛鯛,叉尾鯛,小齒藍鯛、黄加甲(臺東)
Aphareus rutilans,銹色細齒笛鯛,紅叉尾鯛,小齒紅鯛、闊嘴郎仔(臺東)
Aprion virescens,藍短鰭笛鯛,綠短鰭笛鯛,青吾魚、藍鯛、藍笛鯛、赤筆仔(臺東)、汕午(澎湖)、龍占舅(澎湖)
Etelis carbunculus,濱鯛,紅鑽魚,紅雞仔、金蘭(臺東)、大頭(澎湖)、紅魚(澎湖)、肉檨(澎湖)
Etelis coruscans,長尾濱鯛,絲尾紅鑽魚,長尾鳥、紅魚、紅尾鳥(澎湖)、紅嘴針（東港）
Etelis radiosus,多耙濱鯛,多耙紅鑽魚,紅魚、大口濱鯛
Lipocheilus carnolabrum,葉唇笛鯛,,厚唇仔、紅魚(澎湖)
Lutjanus argentimaculatus,銀紋笛鯛,紫紅笛鯛,紅槽、紅厚唇(澎湖)、丁斑(澎湖)
Lutjanus bengalensis,孟加拉笛鯛,孟加拉灣笛鯛,赤筆仔、黃雞母(澎湖)
Lutjanus bohar,白斑笛鯛,,海豚哥、紅魚曹、花臉、紅槽(臺東)
Lutjanus boutton,藍帶笛鯛,,赤筆仔、黃雞母(澎湖)、黃記仔(澎湖)
Lutjanus carponotatus,胸斑笛鯛,縱帶笛鯛,赤筆仔
Lutjanus decussatus,交叉笛鯛,斜帶笛鯛,赤筆仔
Lutjanus dodecacanthoides,斜帶笛鯛,似十二棘笛鯛,赤筆仔
Lutjanus ehrenbergii,埃氏笛鯛,,赤筆仔
Lutjanus erythropterus,赤鰭笛鯛,紅鰭笛鯛,紅雞仔、赤海雞、赤筆仔(臺東)、赤筆、赤海、紅魚、紅鰭赤海(澎湖)、鐵汕婆(澎湖)
Lutjanus fulviflamma,火斑笛鯛,金焰笛鯛,紅雞仔、赤筆仔、黑點(臺東)、烏點仔(澎湖)、海雞母(澎湖)、紅花仔(澎湖)、黃記仔(澎湖)
Lutjanus fulvus,黃足笛鯛,焦黃笛鯛,石機仔、紅公眉、赤筆仔、火燒仔、紅槽(澎湖)、黃雞母(澎湖)
Lutjanus gibbus,隆背笛鯛,,紅雞仔、海豚哥、紅魚仔、紅雞魚、鐵汕婆(澎湖)
Lutjanus johnii,約氏笛鯛,,赤筆仔、金蘭點誌
Lutjanus kasmira,四線笛鯛,四帶笛鳚,四線赤筆、條魚、四線、赤筆仔
Lutjanus lunulatus,月尾笛鯛,,赤筆仔、釣仔魚
Lutjanus lutjanus,正笛鯛,黃笛鯛,赤筆仔
Lutjanus madras,前鱗笛鯛,,赤筆仔
Lutjanus malabaricus,馬拉巴笛鯛,,赤海、赤筆仔
Lutjanus monostigma,單斑笛鯛,,點記、黑點仔、黃翅、赤筆仔、點誌仔、龍王(臺東)
Lutjanus ophuysenii,奧氏笛鯛,,赤筆仔、黃記仔(澎湖)、烏點記(澎湖)、花紅仔(澎湖)、必周(澎湖)
Lutjanus quinquelineatus,五線笛鯛,,赤筆仔、海雞母(澎湖)、烏點記(澎湖)
Lutjanus rivulatus,海雞母笛鯛,藍點笛鯛,海雞母、大花臉、花鰱(臺東)、厚唇(澎湖)、紅厚唇(澎湖)、黃雞母(澎湖)
Lutjanus rufolineatus,紅紋笛鯛,,赤筆仔
Lutjanus russellii,勒氏笛鯛,,加規、火點、海雞母(臺東)、烏點仔(澎湖)、紅花仔(澎湖)
Lutjanus sebae,川紋笛鯛,千年笛鯛,嗑頭、白點赤海、厚唇仔、番仔加志、打鐵婆、紅雞仔(臺東)、鐵汕婆(澎湖)
Lutjanus stellatus,星點笛鯛,,花臉、紅魚、白點仔、黃翅仔、厚唇(澎湖)
Lutjanus vitta,縱帶笛鯛,畫眉笛鯛,赤海、赤筆仔、金雞魚、一巡兵(澎湖)、必周(澎湖)、黃記仔(澎湖)
Macolor macularis,斑點羽鰓笛鯛,,琉球黑毛
Macolor niger,黑背羽鰓笛鯛,黑體羽鰓笛鯛,琉球黑毛、黑雞仔、黑加脊、黑加誌、厚嘴唇(臺東)、番毛(澎湖)
Paracaesio caerulea,藍色擬烏尾鮗,青若梅鯛,青雞仔、大貢仔
Paracaesio kusakarii,橫帶擬烏尾鮗,條紋若梅鯛,雞仔魚、青尾鮗(臺東)、厚殼雞（北部）
Paracaesio sordida,梭地擬烏尾鮗,沖繩若梅鯛,雞仔魚、青尾鮗(臺東)、烏尾冬(澎湖)
Paracaesio stonei,石氏擬烏尾鮗,橫帶若梅鯛,雞仔魚、烏尾冬(澎湖)、青雞仔(澎湖)
Paracaesio xanthura,黃擬烏尾鮗,黃背若梅鯛,黃雞仔、包公雞、貢仔、黃腳佳仔、黃加甲(臺東)、烏尾冬(澎湖)、青雞仔(澎湖)
Pinjalo lewisi,李維氏斜鱗笛鯛,李氏斜鱗笛鯛,赤筆仔
Pinjalo pinjalo,斜鱗笛鯛,,赤筆仔、青雞仔(臺東)、紅雞（大陸）
Pristipomoides argyrogrammicus,藍紋姬鯛,藍紋紫魚,花笛鯛、筆香(臺東)、紅魚(澎湖)
Pristipomoides auricilla,黃尾姬鯛,日本紫魚,散午、汕午(臺東)、肉檨(澎湖)
Pristipomoides filamentosus,絲鰭姬鯛,絲鰭紫魚,金蘭、赤殼(澎湖)、白肉栓(台語)
Pristipomoides flavipinnis,黃鰭姬鯛,黃鰭紫魚,散午、紅臭魚(臺東)
Pristipomoides multidens,黃吻姬鯛,多牙紫魚,散午
Pristipomoides sieboldii,希氏姬鯛,西氏紫魚,鎖吾、散午、紅魚仔、紅臭魚仔、紅臭魚(臺東)、白肉蒜
Pristipomoides typus,尖齒姬鯛,尖齒紫魚,金蘭
Pristipomoides zonatus,橫帶姬鯛,斜帶紫魚,橫帶花笛鯛、散午、紅魚(澎湖)
Symphorus nematophorus,曳絲笛鯛,絲條長鰭笛鯛,赤筆仔、鐵汕婆(澎湖)
Caesio caerulaurea,烏尾鮗,褐梅鯛,烏尾冬仔、紅尾冬(臺東)、青冬(澎湖)、烏尾冬(澎湖)
Caesio cuning,黃尾烏尾鮗,黃尾梅鯛,烏尾冬仔、赤腹烏尾鮗、青尾鮗(臺東)
Caesio lunaris,花尾烏尾鮗,新月梅鯛,烏尾冬仔
Caesio teres,黃藍背烏尾鮗,黃藍背梅鯛,烏尾冬仔、黃烏尾鮗、青尾鮗(臺東)、黃尾冬(澎湖)
Dipterygonotus balteatus,雙鰭烏尾鮗,雙鰭梅鯛,烏尾冬仔
Pterocaesio chrysozona,金帶鱗鰭烏尾鮗,金帶鱗鰭梅鯛(金帶梅鯛),烏尾冬仔
Pterocaesio digramma,雙帶鱗鰭烏尾鮗,雙帶鱗鰭梅鯛,烏尾冬仔、青尾鮗(臺東)、烏尾冬(澎湖)、紅尾冬(澎湖)
Pterocaesio marri,馬氏鱗鰭烏尾鮗,馬氏鱗鰭梅鯛,烏尾冬仔
Pterocaesio pisang,斑尾鱗鰭烏尾鮗,斑尾鱗鰭梅鯛,烏尾冬仔
Pterocaesio randalli,倫氏鱗鰭烏尾鮗,倫氏鱗鰭梅鯛,烏尾冬仔
Pterocaesio tile,蒂爾鱗鰭烏尾鮗,黑帶鱗鰭梅鯛,烏尾冬仔、紅尾冬(臺東)、烏尾冬(澎湖)、青尾冬(澎湖)
Lobotes surinamensis,松鯛,,打鐵婆、枯葉、石鯽、睡魚、庫羅黛、睏魚、海南洋仔、南洋鱸魚、海吳郭、流魚(澎湖)、柴魚(澎湖)、打鐵鱸(澎湖)
Gerres decacanthus,十棘鑽嘴魚,十刺銀鱸,碗米仔
Gerres erythrourus,短鑽嘴魚,紅尾銀鱸,碗米仔、垵米(澎湖)
Gerres filamentosus,曳絲鑽嘴魚,長棘銀鱸,碗米仔、番垵米(澎湖)、三角垵米(澎湖)
Gerres japonicus,日本鑽嘴魚,日本銀鑪,碗米仔、垵米(澎湖)
Gerres limbatus,緣邊鑽嘴魚,緣邊銀鱸,碗米仔
Gerres longirostris,長吻鑽嘴魚,長吻銀鱸,碗米仔
Gerres macracanthus,大棘鑽嘴魚,大棘銀鱸,碗米仔
Gerres oblongus,長身鑽嘴魚,長圓銀鱸,碗米仔
Gerres oyena,奧奈鑽嘴魚,奧奈銀鱸,碗米仔、垵米(澎湖)、長身垵米(澎湖)
Gerres shima,縱紋鑽嘴魚,志摩銀鱸,碗米仔
Pentaprion longimanus,長臂鑽嘴魚,五棘銀鱸,碗米仔
Diagramma melanacrum,黒鰭少棘胡椒鯛,,雞仔魚、加志
Diagramma pictum,密點少棘胡椒鯛,密點少棘胡椒鯛(胡椒鯛),雞仔魚、加志、少棘石鱸、圭誌(澎湖)、烏嘉誌(澎湖)
Hapalogenys analis,臀斑髭鯛,華髭鯛,銅盆魚、石飛魚、打鐵婆、黑文丞、番圭誌(澎湖)
Hapalogenys kishinouyei,岸上氏髭鯛,縱帶髭鯛,打鐵婆、四帶石鱸、縱帶髭鯛、番圭誌(澎湖)
Hapalogenys nigripinnis,黑鰭髭鯛,,銅盆魚、番圭誌(澎湖)
Parapristipoma trilineatum,三線磯鱸,,三線雞魚、黃雞仔、雞仔魚、番仔加誌、黃公仔魚、黃雞魚、三爪仔、雞魚(澎湖)、青筆
Plectorhinchus albovittatus,白帶胡椒鯛,,厚嘴仔、打鐵婆、白帶石鱸、厚嘴唇(臺東)
Plectorhinchus chaetodonoides,斑胡椒鯛,,小丑石鱸、燕子花旦、打鐵婆、花臉、厚唇石鱸、番圭誌(澎湖)、厚唇(澎湖)
Plectorhinchus chrysotaenia,黃紋胡椒鯛,,黃紋石鱸、打鐵婆
Plectorhinchus cinctus,花尾胡椒鯛,,加志、黃斑石鯛、花軟唇、嘉誌(臺東)、包公魚、番圭誌(澎湖)
Plectorhinchus flavomaculatus,黃點胡椒鯛,黃斑胡椒鯛,打鐵婆、黃點石鱸、圭誌(澎湖)、番圭誌(澎湖)
Plectorhinchus gibbosus,駝背胡椒鯛,,打鐵婆、駝背石鱸
Plectorhinchus lessonii,雷氏胡椒鯛,少耙胡椒鯛,花臉仔、打鐵婆、六線妞妞、雷氏石鱸、厚嘴唇(台東)、粗圭誌(澎湖)、厚皮老(澎湖)
